user_id,30,457,571,886,1145,1180,1220,1307,1428,1542,1798,1865,1905,1962,2152,2372,2452,2782,2862,3106,3151,3282,3427,3624,3860,3938,3962,4123,4306,4432
0,7,5,5,4,4,3,5,5,5,4,4,5,5,5,5,3,4,5,5,5,4,2,5,3,5,4,4,5,4,5,5
1,2469,5,3,4,5,5,5,5,5,5,5,4,1,3,4,5,4,2,3,5,4,2,5,5,5,5,5,5,4,5,5
2,4421,3,2,5,4,2,4,3,3,3,5,4,4,4,3,3,3,5,5,5,3,2,4,3,4,3,3,4,4,5,3
3,7599,4,5,4,3,3,4,4,3,3,3,4,5,4,3,4,4,4,4,5,4,3,4,3,4,4,4,4,4,4,3
4,9850,5,5,1,5,3,5,3,4,2,4,5,1,5,5,5,5,3,5,5,5,3,2,3,3,2,5,5,5,5,3
5,11043,5,3,3,5,5,3,5,5,5,5,5,2,5,5,5,4,4,5,4,4,3,3,4,4,4,4,5,5,4,5
6,11796,4,4,4,5,2,4,4,1,3,2,5,5,3,3,4,2,5,5,5,4,3,4,4,4,3,5,5,4,5,3
7,12812,2,4,4,5,5,3,4,4,4,5,4,3,4,3,4,4,4,3,5,5,5,3,3,4,4,4,5,4,4,4
8,13266,3,5,5,2,5,2,2,3,3,5,5,5,5,3,4,4,5,5,5,4,4,5,3,5,4,4,5,5,5,4
9,15420,3,3,4,4,3,4,3,3,3,3,3,2,3,2,3,4,4,4,4,4,2,3,2,4,2,3,4,3,4,4
10,17246,5,4,4,2,4,5,3,4,4,4,4,2,5,5,2,5,5,5,5,4,2,1,2,5,4,4,5,4,4,4
11,19162,5,4,3,5,3,4,4,4,4,4,3,4,5,4,4,4,5,5,5,5,2,4,5,4,4,4,4,4,5,3
12,19970,4,4,4,4,4,3,4,4,4,5,4,5,5,5,4,5,5,3,5,4,4,5,4,4,4,5,4,3,5,5
13,20392,5,4,4,5,4,5,5,5,5,4,4,3,5,5,5,4,5,5,5,5,3,3,5,5,5,5,5,5,5,1
14,21823,3,5,4,4,3,2,4,4,3,5,4,4,4,4,3,4,5,5,5,3,4,4,3,4,2,5,5,3,5,3
15,25606,3,5,5,5,3,4,3,3,4,4,5,4,4,4,4,4,5,5,5,4,5,4,3,5,3,5,5,4,5,5
16,33612,4,5,5,4,3,3,3,4,4,3,4,5,5,5,3,4,5,5,5,4,5,3,3,4,3,5,5,3,4,4
17,35824,4,3,2,5,3,3,5,4,4,5,3,2,5,4,4,5,5,4,4,5,3,3,3,5,4,5,5,3,5,3
18,36212,5,3,4,4,3,5,4,3,2,3,4,5,4,4,4,4,4,5,4,4,3,4,1,4,4,4,5,4,5,5
19,37188,4,5,5,5,3,5,4,3,4,5,4,4,3,3,5,4,4,5,5,5,4,5,2,4,3,5,5,4,4,4
20,39242,3,5,5,3,1,4,2,1,2,3,3,3,4,3,3,3,1,3,4,3,3,3,3,2,3,3,3,3,4,2
21,42147,5,5,5,5,3,4,5,4,5,4,2,5,2,3,3,5,5,5,5,3,3,5,4,4,4,5,5,4,3,5
22,42811,3,4,5,4,5,5,5,4,4,5,4,4,5,4,4,5,5,5,5,5,4,4,4,5,4,5,5,4,5,4
23,44734,4,2,5,5,2,3,4,3,4,5,5,5,5,3,3,4,5,5,5,5,4,4,2,4,3,4,5,3,4,4
24,45207,2,4,5,4,3,4,4,4,4,3,5,4,5,4,3,4,5,5,5,5,5,3,4,5,4,4,5,4,5,4
25,48285,4,3,4,4,4,3,5,4,4,5,5,4,5,4,4,5,5,5,5,3,3,3,3,3,4,5,5,3,3,4
26,49585,4,3,3,5,4,4,5,3,3,3,3,3,4,5,4,4,4,4,4,4,2,2,3,4,3,5,4,4,4,4
27,51451,4,5,5,4,2,4,3,1,2,3,2,5,4,4,3,3,5,5,4,2,5,2,4,2,5,5,5,3,5,2
28,53782,5,4,4,5,4,4,5,4,5,5,5,3,5,5,4,5,5,5,5,5,3,5,5,4,4,5,5,5,5,5
29,57342,5,5,4,4,3,4,4,3,3,4,4,5,4,4,3,4,4,5,5,2,5,5,3,4,4,4,5,3,4,4
30,59876,3,5,3,5,2,5,5,2,2,4,4,5,2,4,3,4,4,5,4,3,4,5,3,3,3,3,4,5,5,2
31,70721,4,1,1,4,3,4,5,1,3,5,3,1,4,4,4,4,1,5,3,4,1,3,1,5,3,4,5,4,3,4
32,71743,2,5,5,5,3,4,4,4,4,4,5,4,4,4,3,4,5,5,5,3,5,5,2,5,2,5,5,3,4,4
33,71765,4,5,5,5,5,5,4,2,4,4,4,5,5,4,3,4,5,5,4,4,4,4,3,5,3,5,5,4,5,3
34,72607,3,3,3,5,3,4,3,4,4,1,3,1,5,4,3,3,5,5,4,4,5,2,3,3,4,5,3,4,5,4
35,81074,3,2,5,3,2,2,3,1,3,2,3,5,3,3,3,3,3,4,4,5,2,3,3,3,2,3,5,4,4,2
36,82404,4,5,4,4,2,4,4,3,3,3,3,5,5,3,4,5,5,5,4,4,2,4,3,4,5,4,5,3,4,4
37,82457,2,1,4,5,3,2,4,5,3,3,4,3,5,4,2,2,4,3,3,5,5,1,4,4,4,5,4,2,5,4
38,84213,4,5,5,4,3,2,3,4,3,4,5,4,5,3,3,4,5,4,5,4,3,4,4,4,2,5,5,3,5,5
39,96124,4,4,5,4,4,5,4,4,4,4,3,4,4,3,3,3,5,4,4,5,3,4,2,4,3,4,5,3,4,4
40,96539,3,5,5,5,2,4,4,3,1,3,3,5,5,4,3,4,5,4,4,3,3,4,3,4,4,5,5,5,4,4
41,100495,5,3,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,4,3,4,4,5,4,3,5,5,5
42,111736,5,5,3,4,3,4,5,4,3,3,5,2,5,3,1,4,5,5,5,5,5,4,3,5,4,5,5,1,5,5
43,115055,3,4,3,4,4,4,5,4,4,3,5,3,5,5,5,4,5,5,4,4,2,4,5,4,3,5,5,4,4,5
44,115507,5,3,4,4,3,4,3,2,3,5,5,4,5,4,4,4,5,3,4,4,3,5,2,3,4,5,5,2,5,3
45,115937,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,5,5,5,4,3,1,5,4,4,4,4,5,2,4,4
46,118341,4,4,5,4,3,4,3,4,3,5,4,5,4,4,4,4,5,5,4,3,3,4,3,4,4,4,5,5,5,4
47,119287,5,4,4,5,5,3,3,4,3,5,4,3,4,5,5,4,4,3,5,3,3,3,3,4,5,3,4,3,5,3
48,121943,4,3,4,5,5,4,4,5,4,4,3,5,5,4,3,4,5,4,3,5,3,4,3,4,3,5,5,3,5,4
49,124699,5,3,4,5,2,5,4,3,3,4,5,5,5,4,5,4,5,5,5,5,2,4,4,5,3,5,5,3,5,3
50,132384,3,5,5,4,2,5,3,1,4,4,3,5,4,5,3,2,5,5,5,4,5,5,3,5,4,5,5,4,4,3
51,136058,5,2,3,3,4,3,4,4,4,5,5,1,5,4,5,5,4,5,3,5,1,3,5,3,3,5,4,2,5,5
52,136477,3,5,5,4,2,4,4,3,3,3,5,3,5,4,4,4,5,5,5,4,3,5,4,4,2,5,5,4,5,4
