movie_id,rating,release_year,name
3456,4.6709891019450955,2004.0,Lost: Season 1
3033,4.586363636363636,2005.0,Ghost in the Shell: Stand Alone Complex: 2nd Gig
2102,4.581295988606693,1994.0,The Simpsons: Season 6
4238,4.554434413170473,2000.0,Inu-Yasha
13,4.552,2003.0,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material
3444,4.5160067816894385,2004.0,Family Guy: Freakin' Sweet Collection
4427,4.473692145333937,2001.0,The West Wing: Season 3
1476,4.469693127060614,2004.0,Six Feet Under: Season 4
2019,4.4675,2004.0,Samurai Champloo
1418,4.464824120603015,2002.0,Inu-Yasha: The Movie 3: Swords of an Honorable Ruler
2568,4.461920529801325,2004.0,Stargate SG-1: Season 8
1947,4.448332988196314,2002.0,Gilmore Girls: Season 3
2114,4.446713702190865,2002.0,Firefly
2452,4.434708339449909,2001.0,Lord of the Rings: The Fellowship of the Ring
3962,4.4155228792940795,2003.0,Finding Nemo (Widescreen)
724,4.40801308258381,1992.0,Yu Yu Hakusho
2172,4.404791537025513,1991.0,The Simpsons: Season 3
3290,4.404083000530623,1974.0,"The Godfather, Part II"
1072,4.3984575835475574,2000.0,As Time Goes By: Series 8
2162,4.396755422324105,2000.0,CSI: Season 1
2117,4.393700787401575,2004.0,Case Closed: Season 5
3046,4.386773547094188,1990.0,The Simpsons: Treehouse of Horror
1357,4.381994373241638,2003.0,Stargate SG-1: Season 7
2057,4.380079597821533,2001.0,Buffy the Vampire Slayer: Season 6
1587,4.36986301369863,1962.0,Harakiri
1499,4.360745614035087,2000.0,FLCL
1915,4.3523375142531355,2000.0,Law & Order: Special Victims Unit: The Second Year
1256,4.348704435660958,1994.0,The Best of Friends: Vol. 4
3067,4.348484848484849,2004.0,Teen Titans: Season 2
1495,4.344422465983336,2001.0,Alias: Season 1
3928,4.339553293751767,2004.0,Nip/Tuck: Season 2
2803,4.338747799849132,1995.0,Pride and Prejudice
4353,4.336022390516957,2002.0,Curb Your Enthusiasm: Season 3
2321,4.325878594249201,2004.0,Get Backers
4306,4.325245221161727,1999.0,The Sixth Sense
4041,4.320598006644518,2004.0,Mobile Suit Gundam SEED
4098,4.315453578483513,2002.0,Angel: Season 4
2862,4.311687401709668,1991.0,The Silence of the Lambs
4115,4.309862494073021,1999.0,The Simpsons: Bart Wars
3965,4.305074971164936,1992.0,Red Dwarf: Series 5
4383,4.302888175759072,2004.0,Farscape: The Peacekeeper Wars
316,4.301984126984127,1999.0,Futurama: Monster Robot Maniac Fun Collection
2548,4.299237683467972,2000.0,Gilmore Girls: Season 1
3523,4.295875606528452,1992.0,Star Trek: The Next Generation: Season 6
